Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,0.223380,0.222222,0.223380,0.067767,0
1962-01-03,0.000000,0.221065,0.219907,0.219907,0.066713,345600
1962-01-04,0.000000,0.221065,0.217593,0.217593,0.066011,216000
1962-01-05,0.000000,0.215856,0.214120,0.214120,0.064957,129600
1962-01-08,0.000000,0.212384,0.210648,0.210648,0.063904,172800
1962-01-09,0.000000,0.212963,0.212963,0.212963,0.064606,43200
1962-01-10,0.000000,0.217593,0.214699,0.217593,0.066011,172800
1962-01-11,0.000000,0.217593,0.216435,0.216435,0.065660,172800
1962-01-12,0.000000,0.217593,0.214120,0.214120,0.064957,259200
1962-01-15,0.000000,0.215856,0.214120,0.214120,0.064957,129600
1962-01-16,0.000000,0.215856,0.212963,0.212963,0.064606,345600
1962-01-17,0.000000,0.215278,0.212963,0.214120,0.064957,259200
1962-01-18,0.000000,0.212963,0.212384,0.212384,0.064431,172800
1962-01-19,0.000000,0.214699,0.213542,0.214699,0.065133,129600
1962-01-22,0.000000,0.212963,0.212384,0.212384,0.064431,172800
1962-01-23,0.000000,0.212963,0.210648,0.210648,0.063904,259200
1962-01-24,0.000000,0.210648,0.209491,0.210069,0.063728,302400
1962-01-25,0.000000,0.210648,0.208912,0.209491,0.063553,129600
1962-01-26,0.000000,0.210648,0.208912,0.208912,0.063377,561600
1962-01-29,0.000000,0.211806,0.209491,0.211806,0.064255,216000
1962-01-30,0.000000,0.214699,0.210648,0.210648,0.063904,734400
1962-01-31,0.000000,0.215278,0.212384,0.215278,0.065309,345600
1962-02-01,0.000000,0.217014,0.214699,0.217014,0.065835,388800
1962-02-02,0.000000,0.228009,0.217593,0.227431,0.068995,2160000
1962-02-05,0.000000,0.240741,0.233796,0.237269,0.071980,1944000
1962-02-06,0.000000,0.248264,0.239583,0.247685,0.075140,2289600
1962-02-07,0.000000,0.259259,0.250000,0.250000,0.075842,3369600
1962-02-08,0.000000,0.253472,0.245949,0.247106,0.074964,1382400
1962-02-09,0.000000,0.247106,0.241898,0.246528,0.074789,777600
1962-02-12,0.000000,0.244213,0.243056,0.244213,0.074087,216000
1962-02-13,0.000000,0.244213,0.241319,0.241898,0.073559,734400
1962-02-14,0.000000,0.240741,0.233796,0.234954,0.071447,1080000
1962-02-15,0.000000,0.234954,0.232639,0.234954,0.071447,302400
1962-02-16,0.000000,0.234954,0.233218,0.233796,0.071095,172800
1962-02-19,0.000000,0.232060,0.232060,0.232060,0.070567,43200
1962-02-20,0.000000,0.229745,0.228009,0.228009,0.069335,86400
1962-02-21,0.000000,0.229167,0.222222,0.222222,0.067575,604800
1962-02-23,0.000000,0.221065,0.219907,0.219907,0.066871,432000
1962-02-26,0.000000,0.224537,0.221065,0.224537,0.068279,259200
1962-02-27,0.000000,0.227431,0.223380,0.227431,0.069159,302400
1962-02-28,0.000000,0.230324,0.224537,0.224537,0.068279,475200
1962-03-01,0.000000,0.226852,0.224537,0.225116,0.068455,259200
1962-03-02,0.000000,0.223958,0.223380,0.223958,0.068103,345600
1962-03-05,0.000000,0.225694,0.224537,0.224537,0.068279,216000
1962-03-06,0.000000,0.227431,0.226273,0.227431,0.069159,86400
1962-03-07,0.000000,0.229167,0.226852,0.228009,0.069335,475200
1962-03-08,0.000000,0.230324,0.229167,0.229167,0.069687,172800
1962-03-09,0.000000,0.228009,0.228009,0.228009,0.069335,43200
1962-03-12,0.000000,0.230903,0.229745,0.230324,0.070039,129600
1962-03-13,0.000000,0.237847,0.231481,0.237847,0.072327,345600
1962-03-14,0.000000,0.244213,0.240741,0.241898,0.073559,864000
1962-03-15,0.000000,0.244792,0.240741,0.243634,0.074087,518400
1962-03-16,0.000000,0.243056,0.237847,0.237847,0.072327,345600
1962-03-19,0.000000,0.238426,0.237269,0.237269,0.072151,86400
1962-03-20,0.000000,0.238426,0.236111,0.237269,0.072151,388800
1962-03-21,0.000000,0.237269,0.236111,0.236111,0.071799,86400
1962-03-22,0.000000,0.235532,0.235532,0.235532,0.071623,129600
1962-03-23,0.000000,0.236111,0.233218,0.233218,0.070919,259200
1962-03-26,0.000000,0.233796,0.230903,0.233796,0.071095,259200
1962-03-27,0.000000,0.232060,0.230324,0.230324,0.070039,86400
1962-03-28,0.000000,0.229167,0.229167,0.229167,0.069687,43200
1962-03-29,0.000000,0.229167,0.229167,0.229167,0.069687,43200
1962-03-30,0.000000,0.230324,0.223958,0.223958,0.068103,432000
1962-04-02,0.000000,0.222801,0.222801,0.222801,0.067751,43200
1962-04-03,0.000000,0.223958,0.222222,0.223958,0.068103,86400
1962-04-04,0.000000,0.223380,0.223380,0.223380,0.067928,172800
1962-04-05,0.000000,0.224537,0.224537,0.224537,0.068279,86400
1962-04-06,0.000000,0.226273,0.222801,0.222801,0.067751,216000
1962-04-09,0.000000,0.222222,0.222222,0.222222,0.067575,86400
1962-04-10,0.000000,0.222512,0.219907,0.219907,0.066871,345600
1962-04-11,0.000000,0.223380,0.221065,0.221065,0.067224,216000
1962-04-12,0.000000,0.218750,0.215278,0.215278,0.065464,302400
1962-04-13,0.000000,0.220486,0.215278,0.219329,0.066696,259200
1962-04-16,0.000000,0.218750,0.218750,0.218750,0.066520,43200
1962-04-17,0.000000,0.218750,0.217593,0.218750,0.066520,0
1962-04-18,0.000000,0.217593,0.217593,0.217593,0.066168,43200
1962-04-19,0.000000,0.218750,0.217593,0.218750,0.066520,172800
1962-04-23,0.000000,0.218171,0.217593,0.218171,0.066344,86400
1962-04-24,0.000000,0.216435,0.215278,0.215278,0.065464,129600
1962-04-25,0.000000,0.216435,0.214699,0.214699,0.065288,388800
1962-04-26,0.000000,0.214120,0.210648,0.210648,0.064056,302400
1962-04-27,0.000000,0.211806,0.207176,0.207176,0.063000,172800
1962-04-30,0.000000,0.208333,0.199074,0.199074,0.060536,432000
1962-05-01,0.000000,0.207176,0.199653,0.207176,0.063000,475200
1962-05-02,0.000000,0.210069,0.207755,0.208912,0.063528,475200
1962-05-03,0.000000,0.210069,0.210069,0.210069,0.063880,129600
1962-05-04,0.000000,0.212384,0.211227,0.212384,0.064584,345600
1962-05-07,0.000000,0.213542,0.211806,0.212963,0.064760,129600
1962-05-08,0.000000,0.214120,0.211227,0.211227,0.064232,259200
1962-05-09,0.000000,0.210069,0.210069,0.210069,0.063880,43200
1962-05-10,0.000000,0.206597,0.203704,0.205440,0.062472,259200
1962-05-11,0.000000,0.206597,0.203704,0.203704,0.061944,259200
1962-05-14,0.000000,0.204861,0.201968,0.204861,0.062296,518400
1962-05-15,0.000000,0.210648,0.207755,0.207755,0.063176,302400
1962-05-16,0.000000,0.207176,0.207176,0.207176,0.063000,43200
1962-05-17,0.000000,0.210648,0.208333,0.208333,0.063352,216000
1962-05-18,0.000000,0.207755,0.204861,0.204861,0.062296,259200
1962-05-21,0.000000,0.203704,0.202546,0.202546,0.061592,259200
1962-05-22,0.000000,0.204861,0.200231,0.200231,0.061063,432000
1962-05-23,0.000000,0.199653,0.194444,0.194444,0.059298,950400
1962-05-24,0.000000,0.194734,0.190394,0.192419,0.058680,1252800
1962-05-25,0.000000,0.192130,0.178241,0.180556,0.055063,907200
1962-05-28,0.000000,0.178819,0.164931,0.164931,0.050298,734400
1962-05-29,0.000000,0.174190,0.159722,0.173611,0.052945,1728000
1962-05-31,0.000000,0.185185,0.182870,0.182870,0.055768,1209600
1962-06-01,0.000000,0.185185,0.180556,0.185185,0.056474,648000
1962-06-04,0.000000,0.182870,0.175926,0.178241,0.054357,388800
1962-06-05,0.000000,0.177083,0.173611,0.173900,0.053033,777600
1962-06-06,0.000000,0.176505,0.173611,0.176505,0.053827,388800
1962-06-07,0.000000,0.178241,0.174769,0.177083,0.054003,259200
1962-06-08,0.000000,0.179398,0.177083,0.177662,0.054180,259200
1962-06-11,0.000000,0.178241,0.176505,0.176505,0.053827,172800
1962-06-12,0.000000,0.173611,0.165509,0.165509,0.050474,432000
1962-06-13,0.000000,0.167824,0.159722,0.159722,0.048709,864000
1962-06-14,0.000000,0.159144,0.151042,0.152199,0.046415,1036800
1962-06-15,0.000000,0.168981,0.152199,0.168981,0.051533,1468800
1962-06-18,0.000000,0.171296,0.164931,0.165509,0.050474,734400
1962-06-19,0.000000,0.163194,0.162037,0.162037,0.049415,172800
1962-06-20,0.000000,0.168981,0.160880,0.166667,0.050827,388800
1962-06-21,0.000000,0.163194,0.158565,0.159722,0.048709,604800
1962-06-22,0.000000,0.163194,0.160301,0.160590,0.048974,950400
1962-06-25,0.000000,0.165509,0.159144,0.165509,0.050474,1382400
1962-06-26,0.000000,0.170139,0.164931,0.164931,0.050298,734400
1962-06-27,0.000000,0.165509,0.162037,0.162037,0.049415,648000
1962-06-28,0.000000,0.170139,0.162037,0.170139,0.051886,864000
1962-06-29,0.000000,0.182292,0.174190,0.179688,0.054798,734400
1962-07-02,0.000000,0.182292,0.176505,0.182292,0.055592,7387200
1962-07-03,0.000000,0.181713,0.178241,0.181713,0.055415,604800
1962-07-05,0.000000,0.182292,0.179398,0.182292,0.055592,259200
1962-07-06,0.000000,0.180556,0.174769,0.174769,0.053298,302400
1962-07-09,0.000000,0.177083,0.177083,0.177083,0.054003,43200
1962-07-10,0.000000,0.184028,0.178241,0.178241,0.054357,993600
1962-07-11,0.000000,0.175926,0.172454,0.174190,0.053121,820800
1962-07-12,0.000000,0.181134,0.175926,0.178819,0.054533,561600
1962-07-13,0.000000,0.181134,0.175926,0.181134,0.055239,432000
1962-07-16,0.000000,0.178819,0.177662,0.177662,0.054180,259200
1962-07-17,0.000000,0.177662,0.177662,0.177662,0.054180,129600
1962-07-18,0.000000,0.175347,0.174190,0.174190,0.053121,172800
1962-07-19,0.000000,0.173611,0.172454,0.172454,0.052592,86400
1962-07-20,0.000000,0.173032,0.172454,0.172454,0.052592,216000
1962-07-23,0.000000,0.173032,0.170718,0.170718,0.052062,172800
1962-07-24,0.000000,0.170139,0.163194,0.163194,0.049768,561600
1962-07-25,0.000000,0.172454,0.164352,0.164352,0.050121,172800
1962-07-26,0.000000,0.169560,0.166088,0.169560,0.051709,345600
1962-07-27,0.000000,0.170139,0.168981,0.169560,0.051709,518400
1962-07-30,0.000000,0.168981,0.167824,0.168981,0.051533,129600
1962-07-31,0.000000,0.172743,0.171296,0.172743,0.052680,388800
1962-08-01,0.000000,0.174190,0.172454,0.172454,0.052592,518400
1962-08-02,0.000000,0.173611,0.172454,0.172454,0.052592,86400
1962-08-03,0.000000,0.171875,0.165509,0.165509,0.050474,475200
1962-08-06,0.000000,0.164352,0.162037,0.164352,0.050121,388800
1962-08-07,0.000000,0.162616,0.162037,0.162616,0.049592,129600
1962-08-08,0.000000,0.170139,0.164931,0.168981,0.051533,604800
1962-08-09,0.000000,0.170718,0.168981,0.168981,0.051533,259200
1962-08-10,0.000000,0.173611,0.168981,0.170139,0.051886,1036800
1962-08-13,0.000000,0.170718,0.168981,0.168981,0.051533,172800
1962-08-14,0.000000,0.168981,0.167245,0.167245,0.051003,172800
1962-08-15,0.000000,0.170139,0.168981,0.170139,0.051886,86400
1962-08-16,0.000000,0.168981,0.168692,0.168981,0.051533,129600
1962-08-17,0.000000,0.169560,0.168981,0.169560,0.051709,86400
1962-08-20,0.000000,0.170139,0.168403,0.168403,0.051356,259200
1962-08-21,0.000000,0.168981,0.166667,0.166667,0.051002,129600
1962-08-22,0.000000,0.169560,0.166088,0.169560,0.051888,302400
1962-08-23,0.000000,0.168981,0.167245,0.168981,0.051710,216000
1962-08-24,0.000000,0.168403,0.167245,0.167245,0.051179,129600
1962-08-27,0.000000,0.166667,0.163194,0.163194,0.049940,518400
1962-08-28,0.000000,0.162616,0.162037,0.162616,0.049763,172800
1962-08-29,0.000000,0.162326,0.162326,0.162326,0.049674,43200
1962-08-30,0.000000,0.163773,0.162326,0.162326,0.049674,259200
1962-08-31,0.000000,0.163773,0.163194,0.163773,0.050117,86400
1962-09-04,0.000000,0.166667,0.163773,0.164352,0.050294,432000
1962-09-05,0.000000,0.163773,0.162037,0.162037,0.049586,388800
1962-09-06,0.000000,0.163773,0.162326,0.163773,0.050117,129600
1962-09-07,0.000000,0.163773,0.163194,0.163773,0.050117,172800
1962-09-10,0.000000,0.164352,0.160301,0.164352,0.050294,518400
1962-09-11,0.000000,0.162616,0.162037,0.162037,0.049586,216000
1962-09-12,0.000000,0.164931,0.162037,0.164931,0.050471,604800
1962-09-13,0.000000,0.163194,0.163194,0.163194,0.049940,43200
1962-09-14,0.000000,0.164352,0.163194,0.163194,0.049940,216000
1962-09-17,0.000000,0.162616,0.162037,0.162326,0.049674,475200
1962-09-18,0.000000,0.163194,0.162037,0.163194,0.049940,129600
1962-09-19,0.000000,0.166088,0.162037,0.166088,0.050825,388800
1962-09-20,0.000000,0.166088,0.164352,0.166088,0.050825,172800
1962-09-21,0.000000,0.165509,0.164352,0.164352,0.050294,432000
1962-09-24,0.000000,0.164063,0.162037,0.162326,0.049674,388800
1962-09-25,0.000000,0.162616,0.160880,0.162616,0.049763,216000
1962-09-26,0.000000,0.160880,0.160012,0.160012,0.048966,129600
1962-09-27,0.000000,0.159722,0.157407,0.157407,0.048169,302400
1962-09-28,0.000000,0.159144,0.157407,0.159144,0.048700,0
1962-10-01,0.000000,0.157407,0.157407,0.157407,0.048169,259200
1962-10-02,0.000000,0.157986,0.157986,0.157986,0.048346,129600
1962-10-03,0.000000,0.158565,0.158565,0.158565,0.048523,43200
1962-10-04,0.000000,0.159722,0.158565,0.159144,0.048700,129600
1962-10-05,0.000000,0.160590,0.157986,0.157986,0.048346,172800
1962-10-08,0.000000,0.158565,0.158565,0.158565,0.048523,43200
1962-10-09,0.000000,0.160590,0.157986,0.160590,0.049143,216000
1962-10-10,0.000000,0.160880,0.159722,0.159722,0.048877,129600
1962-10-11,0.000000,0.159144,0.157407,0.157407,0.048169,345600
1962-10-12,0.000000,0.158565,0.157697,0.158565,0.048523,129600
